Pricing Table,,,,,,,,
package,Priority,,,,,,,
carrier,AA,,,,,,,
subcode,CUU,,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,,
name,Priority Price Test_t,,,,,,,
comment,Updating stale,,,,,,,
attribute_group,TS,,,,,,,
Pricelines,,,,,,,,
arm,Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Control,Control - no change,,08/06/2026,12/05/2026,P:ABE,P:MSO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ABI,P:SMF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AEX,P:MLB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AGS,P:ERI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AGS,P:LWB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AMA,P:MEM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AMA,P:SPI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ANC,P:MFE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ANC,P:MKE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AVL,P:CLL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AVP,P:JFK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AVP,P:MLI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AZO,P:MRY,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BDL,P:SBP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BDL,P:SLC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BIL,P:IAD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BIL,P:MTJ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BIS,P:OKC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BIS,P:RFD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BIS,P:SJC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BIS,P:SPS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BPT,P:DSM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BUF,P:SMF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BUR,P:CHS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BUR,P:MLI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BUR,P:MRY,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CHO,P:CLL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CHO,P:IDA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CHS,P:FCA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CLE,P:HHH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMH,P:ART,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMH,P:ASE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMH,P:TVC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CMI,P:LIT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CWA,P:FAY,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CWA,P:MLU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CWA,P:MSO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DSM,P:CHO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DSM,P:EWR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ECP,P:LYH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ECP,P:RST,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ELP,P:GRB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ERI,P:HSV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ERI,P:MCI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:EUG,P:HRL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:EYW,P:MDT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAR,P:IND,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAR,P:JAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAY,P:COU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAY,P:PHL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAY,P:SHV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FNT,P:RNO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FSD,P:ATL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FSM,P:ORD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FSM,P:SAF,From Loc1 to Loc2,1.0
