Pricing Table,,,,,,,
package,Priority,,,,,,
carrier,AA,,,,,,
subcode,CUU,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,
name,Priority Price Test_t,,,,,,
comment,Updating stale,,,,,,
attribute_group,TS,,,,,,
Pricelines,,,,,,,
Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Random Testing,,08/06/2026,12/05/2026,P:ACT,P:BNA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ACY,P:MLU,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ALB,P:MOB,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ALB,P:TXK,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ATL,P:GSP,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ATW,P:LRD,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ATW,P:SNA,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:AZO,P:ELP,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:AZO,P:PNS,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:AZO,P:SYR,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:BDL,P:ATW,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BFL,P:SAN,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:BHM,P:SBY,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BMI,P:RSW,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:BNA,P:PHF,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BOI,P:SBA,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BUF,P:SUN,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BZN,P:CRP,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:CHS,P:DAY,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:CLE,P:MHK,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:CWA,P:OAJ,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:CWA,P:PNS,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:DAY,P:JFK,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:DAY,P:TYS,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:DSM,P:MCO,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:DTW,P:SPI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:EGE,P:BHM,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:EGE,P:FAY,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:EGE,P:FLL,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:FAR,P:DAY,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:FLG,P:MKE,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:FLG,P:TPA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:FNT,P:DSM,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GCK,P:BFL,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GCK,P:MSN,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GGG,P:PIT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GNV,P:ROW,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GRI,P:GPT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GRK,P:FLL,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GSO,P:LAS,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GSO,P:SBN,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GUC,P:BTV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:HDN,P:FLL,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:HSV,P:SGF,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:HTS,P:SYR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:HYA,P:ACY,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:IAD,P:ILM,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ICT,P:CHS,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:IDA,P:FAY,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ILM,P:PBI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:JAN,P:MKE,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:JAN,P:ROA,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:JAX,P:PSC,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:LAS,P:LIT,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:LBB,P:DEN,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LCH,P:DSM,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:LIT,P:BOI,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LRD,P:BHM,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MAF,P:MRY,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MDT,P:FCA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MFE,P:SFO,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MGM,P:IND,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MSP,P:AVL,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MSY,P:SAV,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MVY,P:SBP,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ORF,P:LAN,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:PGV,P:LSE,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:PHF,P:AVP,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:PNS,P:PHL,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:PSC,P:MHK,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:RNO,P:RFD,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ROC,P:CLE,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:RST,P:LAN,From Loc1 to Loc2,0.8
